"Merchant","Member Group","ID","Login","Account Status","Member Tag","Affiliate Login","Aff Group Category","Currency","Registration date","#Dep","Total Deposit","#Wd","Total Withdrawal","#Adj","Amount","#Bet","Bet Amount","Valid Bet","Win/Loss","Total Bonus Count","Total Bonus","Total Cancelled Bonus","Total Rebate","Total Cashback","Total Reward","Total Referral Comm","Total W/L","Promo Turnover","Promo Win/Loss"
"aw8","VIP SILVER","339369","=""bkleonglbk85""","A","SAME PASSWORD USER","=""""","","MYR","2019-09-14 10:47:56","98","7242.000000","19","5221.140000","1","58.000000","42619","82510.700000","82510.700000","-2127.45","1","58.000000","0.000000","54.590000","0.000000","51.900000","0.000000","-1962.96","0.000000","0.000000"
"aw8","VIP GOLD","411022","=""henry""","A","Main customer / VIP member","=""""","","MYR","2019-10-15 16:33:06","33","40820.000000","2","4000.000000","4","1453.180000","16087","335532.820000","322301.410000","-42265.65","5","1903.180000","0.000000","1715.820000","0.000000","1227.610000","155.980000","-37419.04","450.000000","0.000000"
"aw8","VIP PLATINIUM","560481","=""luckytan338""","A","Fake Number,Special Upgrade VIP (Small)","=""""","","MYR","2019-10-24 07:47:09","0","0.000000","2","2291.400000","0","0.000000","432","1494.000000","1472.250000","1590.50","1","688.000000","0.000000","13.530000","0.000000","0.000000","0.000000","2292.03","690.000000","0.000000"
"aw8","VIP GOLD","560583","=""kk1233""","A","","=""""","","MYR","2019-10-24 08:41:01","8","11290.000000","11","14950.000000","3","132.000000","279","58136.500000","50426.200000","2915.20","4","332.000000","0.000000","247.160000","0.000000","210.570000","0.000000","3704.93","330.000000","0.000000"
"aw8","VIP GOLD","575980","=""justice""","A","Main customer / VIP member,SAME PASSWORD USER","=""""","","MYR","2019-11-01 05:28:01","93","95220.000000","5","82270.000000","2","872.000000","22589","752303.800000","752303.800000","-20512.55","3","1112.000000","0.000000","5975.450000","0.000000","428.310000","0.000000","-12996.79","240.000000","0.000000"
"aw8","VIP GOLD","577771","=""mhpyoong""","A","SAME PASSWORD USER","=""""","","MYR","2019-11-01 22:24:09","4","1003.240000","3","1305.000000","1","58.000000","141","3870.000000","3108.000000","211.00","1","58.000000","0.000000","15.530000","0.000000","2.020000","0.000000","286.55","0.000000","0.000000"
"aw8","REGULARS","604660","=""venus123""","A","","=""""","","MYR","2019-11-13 08:24:04","80","7399.340000","27","4870.000000","1","58.000000","57681","51921.902000","51389.122000","-2952.04","1","58.000000","0.000000","247.950000","0.000000","98.630000","0.000000","-2547.46","0.000000","0.000000"
"aw8","VIP DIAMOND","714613","=""chiw77""","A","Main customer / VIP member,VIP TRANSFER PLAN","=""""","","MYR","2019-12-19 07:38:55","27","39540.600000","31","37745.790000","2","346.000000","1326","374365.000000","329581.700000","-5180.30","3","796.000000","0.000000","2360.840000","0.000000","229.430000","0.000000","-1794.03","3450.000000","0.000000"
"aw8","REGULARS","825178","=""pensoheh""","A","","=""""","","MYR","2020-01-21 17:38:44","9","410.000000","0","0.000000","0","0.000000","301","2785.000000","2785.000000","-411.11","0","0.000000","0.000000","0.940000","0.000000","0.000000","0.000000","-410.17","0.000000","0.000000"
"aw8","REGULARS","1037380","=""simonlim""","A","","=""aff123""","","MYR","2020-02-28 08:09:57","45","5515.000000","1","1500.000000","2","116.000000","347","39429.550000","22977.290000","-4406.67","3","158.000000","0.000000","68.820000","0.000000","136.110000","0.000000","-4043.74","42.140000","0.000000"
"aw8","VIP SILVER","1191365","=""ravk""","A","Main customer / VIP member","=""""","","MYR","2020-03-19 10:58:16","14","11100.000000","0","0.000000","2","346.000000","2830","38218.310000","36012.700000","-10994.72","2","346.000000","0.000000","126.510000","0.000000","350.740000","0.000000","-10171.47","0.000000","0.000000"
"aw8","REGULAR","1924006","=""reddevils20""","A","","=""""","","MYR","2020-06-04 16:05:19","4","260.000000","0","0.000000","0","0.000000","113","773.002400","644.697400","-269.50","1","5.700000","0.000000","3.790000","0.000000","0.000000","0.000000","-260.01","28.000000","0.000000"
"aw8","VIP SILVER","1930458","=""jeffteng3021""","A","","=""""","","MYR","2020-06-05 08:31:47","34","6920.000000","8","4660.000000","1","58.000000","1438","33824.000000","29588.650000","-2618.35","1","58.000000","0.000000","124.030000","0.000000","78.000000","0.000000","-2358.32","0.000000","0.000000"
"aw8","VIP PLATINIUM","2532424","=""betwinwinwin888""","A","","=""""","","MYR","2020-08-07 23:27:34","13","6928.830000","3","4750.050000","1","58.000000","10076","50310.470000","44088.470000","-2941.47","2","358.000000","0.000000","317.500000","0.000000","86.300000","1.330000","-2179.67","1375.000000","0.000000"
"aw8","VIP GOLD","2647218","=""liang1411""","A","Main customer / VIP member","=""""","","MYR","2020-08-18 18:24:28","56","111600.000000","13","59200.000000","4","2574.370000","8803","1445600.000000","1319486.650000","-63310.35","4","2574.370000","0.000000","6608.210000","0.000000","1683.130000","0.000000","-52444.64","0.000000","0.000000"
"aw8","VIP GOLD","2676914","=""kok12572""","A","","=""""","","MYR","2020-08-22 01:12:38","18","10720.000000","2","2323.000000","1","58.000000","177","38940.000000","29679.000000","-8679.00","1","58.000000","0.000000","148.450000","0.000000","53.960000","0.000000","-8418.59","0.000000","0.000000"
"aw8","REGULAR","2908993","=""dsdestiny""","A","","=""""","","MYR","2020-09-10 22:59:42","172","6265.020000","58","5455.220000","1","58.000000","350","15694.820000","13894.645500","-954.87","1","58.000000","0.000000","40.380000","0.000000","8.620000","0.000000","-847.87","0.000000","0.000000"
"aw8","VIP PLATINIUM","3240653","=""act6114""","A","VIP TRANSFER PLAN","=""telemarketing1""","","MYR","2020-10-15 05:26:47","55","76798.460000","14","66594.920000","4","692.000000","13116","162960.666800","144677.236800","-14370.52","8","1600.000000","0.000000","1921.490000","0.000000","718.990000","0.000000","-10130.04","5843.240000","0.000000"
"aw8","VIP SILVER","3241117","=""chichibom""","A","","=""telemarketing2""","","MYR","2020-10-15 06:48:17","20","9869.700000","0","0.000000","3","634.000000","2674","114722.690000","90315.190000","-10965.55","3","634.000000","0.000000","221.120000","0.000000","322.330000","0.000000","-9788.10","0.000000","0.000000"
"aw8","VIP SILVER","3313494","=""chaikfong""","A","","=""""","","MYR","2020-10-24 04:49:33","26","7422.310000","16","6147.000000","0","0.000000","5593","103552.000000","89664.250000","-1189.00","1","44.000000","0.000000","354.240000","0.000000","3.610000","0.000000","-787.15","286.750000","0.000000"
"aw8","VIP PLATINIUM","3363525","=""wuiyuen124""","A","VIP TRANSFER PLAN","=""telemarketing2""","","MYR","2020-10-30 14:01:39","4","6098.220000","0","0.000000","4","324.000000","35499","97333.200000","97333.200000","-8164.06","10","904.530000","0.000000","950.930000","0.000000","210.110000","0.000000","-6098.49","2297.600000","0.000000"
"aw8","VIP BRONZE","3409962","=""lwl3355""","A","Special Upgrade VIP (Big)","=""""","","MYR","2020-11-05 01:15:42","18","11710.000000","6","8000.000000","2","116.000000","1074","108125.641400","76925.641400","-4057.26","2","116.000000","0.000000","193.270000","0.000000","223.030000","0.000000","-3524.96","0.000000","0.000000"
"aw8","VIP SILVER","3438134","=""yangmehmeh""","A","SAME PASSWORD USER","=""telemarketing1""","","MYR","2020-11-08 12:43:06","3","900.000000","2","1350.000000","1","58.000000","504","3287.000000","3086.000000","45.00","2","246.000000","0.000000","11.430000","0.000000","138.000000","0.000000","440.43","213.000000","0.000000"
"aw8","REGULAR","3627904","=""rsl0227""","A","","=""""","","MYR","2020-11-30 18:26:23","9","738.400000","0","0.000000","1","58.000000","1484","3776.400000","3776.400000","-884.16","1","58.000000","0.000000","79.360000","0.000000","8.090000","0.000000","-738.71","0.000000","0.000000"
"aw8","VIP BRONZE","3631361","=""liewch80""","A","Special Upgrade VIP (Small)","=""""","","MYR","2020-12-01 06:35:27","54","10849.000000","3","10600.000000","1","58.000000","16658","152680.902400","152680.902400","-1264.48","2","146.000000","0.000000","764.490000","0.000000","105.420000","0.000000","-248.57","88.000000","0.000000"
"aw8","VIP SILVER","3641566","=""happy888""","A","Main customer / VIP member","=""""","","MYR","2020-12-02 11:47:26","73","22039.000000","25","12200.000000","5","290.000000","336","70519.710000","50652.140000","-10882.06","6","390.000000","0.000000","197.720000","0.000000","454.020000","0.000000","-9840.32","712.480000","0.000000"
"aw8","VIP PLATINIUM","3709283","=""too918""","A","Main customer / VIP member","=""""","","MYR","2020-12-11 11:06:46","9","3400.000000","1","130.000000","4","206.000000","260","14264.500000","11128.040000","-4054.36","5","356.000000","90.000000","69.170000","0.000000","168.200000","0.000000","-3550.99","149.000000","0.000000"
"aw8","REGULAR","3972257","=""lennon8787""","A","","=""""","","MYR","2021-01-09 23:23:44","8","990.000000","2","1280.790000","0","0.000000","2941","9804.986800","8432.736800","219.64","0","0.000000","0.000000","66.660000","0.000000","4.690000","0.000000","290.99","0.000000","0.000000"
"aw8","REGULAR","4064247","=""sashi2711""","A","","=""""","","MYR","2021-01-20 17:34:23","19","5510.000000","2","1360.000000","3","174.000000","177","12537.000000","10031.100000","-4301.10","3","174.000000","0.000000","29.320000","0.000000","8.000000","0.000000","-4089.78","0.000000","0.000000"
"aw8","VIP BRONZE","4101060","=""kumartamo""","A","","=""""","","MYR","2021-01-25 02:07:36","2","3650.000000","1","30000.000000","2","346.000000","4719","146695.400000","146695.400000","25228.75","2","346.000000","0.000000","733.490000","0.000000","40.220000","0.000000","26348.46","0.000000","0.000000"
"aw8","REGULAR","4172229","=""shawngoo""","A","","=""""","","MYR","2021-02-02 05:47:59","9","310.000000","0","0.000000","0","0.000000","1788","1492.800000","1492.800000","-325.70","0","0.000000","0.000000","17.880000","0.000000","0.000000","0.000000","-307.82","0.000000","0.000000"
"aw8","REGULAR [V]","4195467","=""menglow""","A","","=""""","","MYR","2021-02-04 14:26:26","56","1299.000000","14","2220.000000","0","0.000000","15322","8026.950000","7780.620000","832.18","1","58.000000","0.000000","30.980000","0.000000","0.000000","0.000000","921.16","58.800000","0.000000"
"aw8","REGULAR [V]","4235260","=""cklee8049""","A","","=""""","","MYR","2021-02-08 19:21:48","4","400.000000","2","150.000000","0","0.000000","421","7378.000000","6625.250000","-396.15","0","0.000000","0.000000","20.270000","0.000000","0.000000","0.000000","-375.88","0.000000","0.000000"
"aw8","REGULAR","4274879","=""lonkoko999""","A","","=""""","","MYR","2021-02-12 09:59:29","10","1760.000000","2","1340.000000","0","0.000000","4273","4676.090000","4396.450000","-561.34","1","100.000000","0.000000","9.170000","0.000000","32.080000","0.000000","-420.09","1100.160000","0.000000"
"aw8","Affilate - 1","4335358","=""mazlan123""","A","","=""livescoreMY""","","MYR","2021-02-18 10:51:42","6","335.000000","0","0.000000","0","0.000000","838","465.400000","465.400000","-367.74","0","0.000000","0.000000","0.950000","0.000000","0.000000","0.000000","-366.79","0.000000","0.000000"
"aw8","VIP SILVER","4346720","=""ndez""","A","","=""""","","MYR","2021-02-19 15:11:47","12","2825.000000","1","1300.000000","1","58.000000","8122","24586.080000","24586.080000","-1706.83","1","58.000000","0.000000","16.690000","0.000000","107.260000","0.000000","-1524.88","0.000000","0.000000"
"aw8","VIP SILVER","4363104","=""asd173""","A","","=""""","","MYR","2021-02-21 14:00:07","1","3000.000000","0","0.000000","1","58.000000","1445","98677.000000","89519.500000","-3740.50","1","58.000000","0.000000","356.380000","0.000000","100.000000","0.000000","-3226.12","0.000000","0.000000"
"aw8","VIP BRONZE","4376614","=""kdvishnu93""","A","Special Upgrade VIP (Small)","=""""","","MYR","2021-02-23 01:24:10","40","4822.000000","4","850.000000","1","58.000000","9672","35976.850000","35976.850000","-4399.68","1","58.000000","0.000000","190.120000","0.000000","174.560000","0.000000","-3977.00","0.000000","0.000000"
"aw8","REGULAR","4390288","=""jeffwong0617""","A","","=""acewin8fb""","","MYR","2021-02-24 11:07:01","41","1700.000000","12","1250.000000","0","0.000000","762","19421.000000","16280.305000","-583.17","0","0.000000","0.000000","48.860000","0.000000","0.000000","0.000000","-534.31","0.000000","0.000000"
"aw8","REGULAR","4420500","=""rizzow181""","A","","=""""","","MYR","2021-02-27 19:34:21","1","30.000000","0","0.000000","0","0.000000","2181","346.580000","346.580000","-31.56","0","0.000000","0.000000","1.390000","0.000000","0.000000","0.000000","-30.17","0.000000","0.000000"
"aw8","VIP SILVER","4445286","=""yazit91""","A","","=""""","","MYR","2021-03-02 21:18:57","74","3557.000000","19","1910.000000","0","0.000000","15342","18722.940400","18722.940400","-1675.30","0","0.000000","0.000000","31.280000","0.000000","6.950000","0.000000","-1637.07","0.000000","0.000000"
"aw8","VIP BRONZE","4487859","=""kuanjit96""","A","Special Upgrade VIP (Big)","=""""","","MYR","2021-03-07 13:54:08","49","5100.000000","4","1674.000000","1","58.000000","270","23394.300000","21534.650000","-3588.66","1","58.000000","0.000000","75.080000","0.000000","30.350000","0.000000","-3425.23","0.000000","0.000000"
"aw8","REGULAR","4514353","=""yuaraj26""","A","","=""""","","MYR","2021-03-10 07:01:52","23","996.000000","2","390.000000","0","0.000000","573","1405.349200","1405.349200","-655.25","0","0.000000","0.000000","38.470000","0.000000","0.000000","0.000000","-616.78","0.000000","0.000000"
"aw8","REGULAR","4515069","=""pette""","A","","=""seosg""","","MYR","2021-03-10 08:33:25","40","5196.000000","0","0.000000","2","116.000000","116","26454.550000","26454.550000","-5485.68","2","116.000000","0.000000","1.860000","0.000000","171.530000","0.000000","-5196.29","0.000000","0.000000"
