"Merchant","Member Group","ID","Login","Account Status","Member Tag","Affiliate Login","Aff Group Category","Currency","Registration date","#Dep","Total Deposit","#Wd","Total Withdrawal","#Adj","Amount","#Bet","Bet Amount","Valid Bet","Win/Loss","Total Bonus Count","Total Bonus","Total Cancelled Bonus","Total Rebate","Total Cashback","Total Reward","Total Referral Comm","Total W/L","Promo Turnover","Promo Win/Loss"
"aw8","VIP BRONZE","763640","=""sunshine218""","A","","=""""","","SGD","2020-01-06 03:20:28","15","3029.000000","4","3900.000000","0","0.000000","142","24483.070000","19404.300000","825.89","0","0.000000","0.000000","44.960000","0.000000","0.000000","0.000000","870.85","0.000000","0.000000"
"aw8","VIP GOLD","1005279","=""ahpek88""","A","","=""aff123""","","SGD","2020-02-23 05:04:40","7","2500.000000","4","2800.000000","0","0.000000","5841","31381.330000","22933.670000","78.46","0","0.000000","0.000000","176.910000","0.000000","45.770000","0.000000","301.14","0.000000","0.000000"
"aw8","VIP BRONZE","1195737","=""romeobing""","A","","=""""","","SGD","2020-03-19 19:59:16","67","14050.000000","10","22105.010000","3","254.000000","11362","60922.512000","60922.512000","7329.48","3","254.000000","0.000000","334.990000","0.000000","135.350000","0.000000","8053.82","0.000000","0.000000"
"aw8","VIP SILVER","1507193","=""lkwong""","A","","=""aff123""","","SGD","2020-04-20 14:24:30","58","13740.000000","12","13850.000000","2","186.000000","6002","218913.950000","144230.650000","-849.92","4","334.000000","0.000000","417.730000","0.000000","210.500000","0.000000","112.31","806.000000","0.000000"
"aw8","REGULAR [V]","3188260","=""newfangled""","A","","=""exo1""","","SGD","2020-10-08 07:46:57","7","292.000000","0","0.000000","0","0.000000","16","422.900000","350.900000","-350.90","1","58.000000","0.000000","1.330000","0.000000","0.000000","0.000000","-291.57","58.000000","0.000000"
"aw8","VIP GOLD","3441024","=""insanity""","A","","=""seosg""","","SGD","2020-11-08 19:33:24","61","7800.000000","31","7549.000000","0","0.000000","4867","40730.200000","37044.700000","-732.80","1","210.000000","0.000000","192.500000","0.000000","79.280000","0.000000","-251.02","912.500000","0.000000"
"aw8","VIP GOLD","3920424","=""gummy555""","A","","=""""","","SGD","2021-01-03 16:42:54","58","139500.000000","7","47459.000000","3","2644.000000","5507","1456874.500000","1278291.820000","-104221.38","5","3120.000000","0.000000","6853.810000","0.000000","2206.590000","0.000000","-92040.98","732.000000","0.000000"
"aw8","REGULAR","3920931","=""jondoe""","A","","=""""","","SGD","2021-01-03 17:55:32","49","1354.000000","2","320.000000","1","20.000000","15515","9823.810000","9823.810000","-1092.68","0","0.000000","0.000000","19.500000","0.000000","0.000000","0.000000","-1073.18","0.000000","0.000000"
"aw8","REGULAR","3958854","=""cyoujames""","A","","=""""","","SGD","2021-01-08 10:30:50","1","258.000000","1","512.000000","0","0.000000","120","17813.000000","13569.380000","-82.70","0","0.000000","0.000000","65.450000","0.000000","0.000000","0.000000","-17.25","0.000000","0.000000"
"aw8","REGULAR","4267557","=""teeyuxuan""","A","Fake Number","=""seosg""","","SGD","2021-02-11 17:32:11","11","455.000000","4","319.000000","0","0.000000","48","1927.000000","1687.600000","-211.39","0","0.000000","0.000000","8.530000","0.000000","0.000000","0.000000","-202.86","0.000000","0.000000"
