"Merchant","Member Group","ID","Login","Account Status","Member Tag","Affiliate Login","Aff Group Category","Currency","Registration date","#Dep","Total Deposit","#Wd","Total Withdrawal","#Adj","Amount","#Bet","Bet Amount","Valid Bet","Win/Loss","Total Bonus Count","Total Bonus","Total Cancelled Bonus","Total Rebate","Total Cashback","Total Reward","Total Referral Comm","Total W/L","Promo Turnover","Promo Win/Loss"
"aw8","REGULARS","1957018","=""khaoplai""","A","","=""aw8thai""","","THB","2020-06-08 00:37:34","17","3495.000000","1","2000.000000","0","0.000000","64","4675.000000","4675.000000","-2675.00","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-2675.00","0.000000","0.000000"
"aw8","VIP BRONZE","1967091","=""kanawoot2528""","A","","=""msportth""","","THB","2020-06-09 03:35:16","47","50960.000000","24","56269.000000","0","0.000000","16034","135240.000000","116223.600000","4419.69","2","346.000000","0.000000","300.800000","0.000000","242.740000","0.000000","5309.23","1731.000000","0.000000"
"aw8","VIP BRONZE","2009310","=""buggreennut""","A","","=""aw8thai""","","THB","2020-06-13 13:22:48","16","83448.000000","4","56500.000000","0","0.000000","1672","667003.800000","603530.425000","-28668.73","0","0.000000","0.000000","1240.440000","0.000000","479.000000","0.000000","-26949.29","0.000000","0.000000"
"aw8","REGULAR [V]","2017635","=""siam35""","A","","=""""","","THB","2020-06-14 12:21:02","2","3000.000000","0","0.000000","0","0.000000","90","4190.480000","3815.480000","-3016.76","0","0.000000","0.000000","2.780000","0.000000","15.000000","0.000000","-2998.98","0.000000","0.000000"
"aw8","VIP BRONZE","2089613","=""zolo8864""","A","","=""""","","THB","2020-06-21 14:55:55","97","34095.000000","18","14081.000000","0","0.000000","4249","648635.000000","185222.500000","-19390.00","1","88.000000","0.000000","0.000000","0.000000","23.480000","0.000000","-19278.52","305.000000","0.000000"
"aw8","REGULAR","2137121","=""notslot2539""","A","","=""""","","THB","2020-06-26 15:54:39","3","600.000000","1","2200.000000","0","0.000000","213","695.000000","695.000000","1600.45","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1600.45","0.000000","0.000000"
"aw8","REGULAR","2168863","=""kwangae""","A","","=""""","","THB","2020-06-30 08:30:23","2","200.000000","1","300.000000","0","0.000000","404","954.300000","954.300000","98.10","0","0.000000","0.000000","2.080000","0.000000","0.000000","0.000000","100.18","0.000000","0.000000"
"aw8","REGULAR [V]","2175356","=""ake13626""","A","","=""""","","THB","2020-07-01 02:02:34","5","15000.000000","1","8900.000000","0","0.000000","8641","287618.300000","287618.300000","-6093.20","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6093.20","0.000000","0.000000"
"aw8","REGULAR","2286792","=""noonoi3228""","A","","=""aw8thai""","","THB","2020-07-13 02:10:04","26","17440.000000","4","19695.000000","0","0.000000","8033","47340.400000","47340.400000","2098.10","0","0.000000","0.000000","51.690000","0.000000","3.160000","120.420000","2152.95","0.000000","0.000000"
"aw8","REGULAR","2295001","=""ff2539""","A","","=""aw8thai""","","THB","2020-07-14 00:03:42","40","8594.000000","1","3000.000000","0","0.000000","19386","57401.000000","57401.000000","-5767.58","0","0.000000","0.000000","106.560000","0.000000","67.000000","0.000000","-5594.02","0.000000","0.000000"
"aw8","REGULAR [V]","2299280","=""nesroot""","A","","=""""","","THB","2020-07-14 10:20:07","20","2675.000000","5","2000.000000","0","0.000000","18133","21211.800000","21211.800000","-720.34","0","0.000000","0.000000","40.370000","0.000000","5.360000","0.000000","-674.61","0.000000","0.000000"
"aw8","REGULAR","2305508","=""janno1""","A","","=""""","","THB","2020-07-15 01:53:27","6","2230.060000","1","4500.000000","0","0.000000","465","5400.750000","5400.750000","2263.25","0","0.000000","0.000000","7.810000","0.000000","0.000000","0.000000","2271.06","0.000000","0.000000"
"aw8","REGULAR","2342476","=""speclalmin1""","A","","=""aw8thai""","","THB","2020-07-18 12:20:06","32","4520.000000","4","2415.000000","0","0.000000","10602","21871.100000","21857.400000","-2385.46","0","0.000000","0.000000","41.460000","0.000000","19.110000","0.000000","-2324.89","0.000000","0.000000"
"aw8","REGULAR","2357896","=""new202529""","A","","=""""","","THB","2020-07-20 06:26:43","26","13090.000000","7","17432.080000","0","0.000000","17375","66248.250000","66248.250000","4124.40","0","0.000000","0.000000","142.960000","0.000000","75.410000","0.000000","4342.77","0.000000","0.000000"
"aw8","VIP BRONZE","2380044","=""tira09""","A","","=""aw8thai""","","THB","2020-07-22 05:23:36","14","43000.000000","6","37861.000000","0","0.000000","397","161902.000000","143412.350000","-5850.30","0","0.000000","0.000000","413.250000","0.000000","298.000000","0.000000","-5139.05","0.000000","0.000000"
"aw8","REGULAR","2388524","=""marymelon""","A","","=""""","","THB","2020-07-22 23:20:30","2","1000.000000","1","600.000000","0","0.000000","688","2306.000000","2306.000000","-404.85","0","0.000000","0.000000","3.940000","0.000000","0.000000","0.000000","-400.91","0.000000","0.000000"
"aw8","REGULAR","2388824","=""plasma2499""","A","","=""""","","THB","2020-07-23 00:07:05","17","4373.000000","3","1900.000000","0","0.000000","4616","18142.600000","16545.670000","-2599.12","0","0.000000","0.000000","26.520000","0.000000","0.000000","0.000000","-2572.60","0.000000","0.000000"
"aw8","REGULAR","2396241","=""pongsakon""","A","","=""aw8thai""","","THB","2020-07-23 13:30:50","0","0.000000","0","0.000000","0","0.000000","43","31.000000","31.000000","-17.60","0","0.000000","0.000000","18.060000","0.000000","0.000000","0.000000","0.46","0.000000","0.000000"
"aw8","REGULAR","2403009","=""nitsara5534""","A","","=""aw8thai""","","THB","2020-07-24 06:06:06","0","0.000000","0","0.000000","0","0.000000","33","20.000000","20.000000","-3.95","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-3.95","0.000000","0.000000"
"aw8","VIP SILVER","2412033","=""juthamas""","A","","=""""","","THB","2020-07-25 09:26:22","61","274150.000000","27","520270.440000","0","0.000000","39085","1924896.500000","1924896.500000","240682.81","0","0.000000","0.000000","5264.200000","0.000000","174.000000","0.000000","246121.01","0.000000","0.000000"
"aw8","REGULAR [V]","2417972","=""amphorn""","A","","=""""","","THB","2020-07-26 03:07:12","18","16598.000000","2","10600.000000","0","0.000000","8138","49871.000000","49871.000000","-6102.75","0","0.000000","0.000000","75.400000","0.000000","30.490000","0.000000","-5996.86","0.000000","0.000000"
"aw8","REGULAR [V]","2426237","=""max0614562562""","A","","=""""","","THB","2020-07-27 02:39:32","72","24859.000000","16","22300.000000","0","0.000000","35605","177551.950000","177551.950000","-2992.07","0","0.000000","0.000000","346.080000","0.000000","87.000000","0.000000","-2558.99","0.000000","0.000000"
"aw8","VIP BRONZE","2451818","=""alisum""","A","","=""muntongdonz""","","THB","2020-07-29 15:46:21","50","83003.000000","7","145505.000000","0","0.000000","38975","1310435.450000","1310435.450000","54764.30","4","822.000000","0.000000","3885.320000","0.000000","425.690000","2486.810000","59897.31","3330.000000","0.000000"
"aw8","VIP GOLD","2485005","=""boogeymanxi""","A","","=""""","","THB","2020-08-02 10:54:44","47","104885.910000","22","97760.830000","0","0.000000","20413","540481.050000","540481.050000","-9817.61","1","588.000000","0.000000","1745.300000","0.000000","359.000000","0.000000","-7125.31","1135.000000","0.000000"
"aw8","VIP BRONZE","2504107","=""amol2n""","A","","=""""","","THB","2020-08-04 15:14:35","21","63185.000000","8","11950.000000","0","0.000000","688","622433.930000","557438.310000","-53360.69","0","0.000000","0.000000","1063.190000","0.000000","1028.000000","0.000000","-51269.50","0.000000","0.000000"
"aw8","VIP SILVER","2517027","=""mayzoom902""","A","","=""""","","THB","2020-08-06 07:42:43","21","812600.000000","5","750000.000000","0","0.000000","22948","11017273.000000","10234103.000000","-580562.50","0","0.000000","0.000000","17940.600000","0.000000","0.000000","0.000000","-562621.90","0.000000","0.000000"
"aw8","VIP BRONZE","2523284","=""jhub12345""","A","","=""""","","THB","2020-08-07 01:50:13","10","34468.000000","5","32465.000000","0","0.000000","384","178809.000000","164127.750000","-2328.25","0","0.000000","0.000000","348.950000","0.000000","24.000000","0.000000","-1955.30","0.000000","0.000000"
"aw8","REGULAR [V]","2526176","=""ounoun""","A","","=""""","","THB","2020-08-07 09:00:04","67","25977.000000","48","32374.000000","0","0.000000","23261","57540.000000","57540.000000","6106.27","0","0.000000","0.000000","113.820000","0.000000","176.000000","0.000000","6396.09","0.000000","0.000000"
"aw8","REGULAR [V]","2526260","=""anuchar""","A","","=""jameball""","","THB","2020-08-07 09:14:10","29","8690.000000","3","7100.000000","0","0.000000","1686","14389.000000","14279.000000","-2053.05","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-2053.05","0.000000","0.000000"
"aw8","REGULAR","2529548","=""sapu1892""","A","","=""""","","THB","2020-08-07 16:54:10","7","5100.000000","2","4900.000000","0","0.000000","303","18900.000000","18320.000000","-3138.70","0","0.000000","0.000000","11.180000","0.000000","20.030000","0.000000","-3107.49","0.000000","0.000000"
"aw8","REGULAR [V]","2546682","=""kingllss888""","A","","=""jameball""","","THB","2020-08-09 08:54:58","14","5271.000000","1","5000.000000","0","0.000000","62","14774.500000","12829.750000","-718.25","0","0.000000","0.000000","7.360000","0.000000","16.580000","0.000000","-694.31","0.000000","0.000000"
"aw8","REGULAR [V]","2581447","=""suvan454545""","A","","=""""","","THB","2020-08-12 14:01:00","4","925.000000","1","900.000000","0","0.000000","12","927.000000","927.000000","-27.00","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-27.00","0.000000","0.000000"
"aw8","REGULAR","2585010","=""finanzz88""","A","","=""""","","THB","2020-08-12 21:30:21","7","3626.000000","0","0.000000","0","0.000000","1232","7729.500000","7729.500000","-3626.40","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-3626.40","0.000000","0.000000"
